player_id,player_name,performance_resilience,spatial_diversity,playtype_diversity,method_resilience,overall_resilience,data_quality_score,reg_games,po_games,spatial_shots,playtype_possessions
2544,LeBron James,100.0,58.8,80.0,71.5,85.75,100.0,70,5,1287,17.7
201143,Al Horford,65.4,52.3,,52.3,58.85,83.3,60,11,507,3.8000000000000003
201144,Mike Conley,100.0,54.7,72.6,65.4,82.7,100.0,71,15,517,5.5
201566,Russell Westbrook,100.0,62.2,79.8,72.8,86.4,100.0,75,13,872,11.5
201572,Brook Lopez,0.0,66.7,64.6,65.4,32.7,100.0,80,5,799,6.1
201587,Nicolas Batum,100.0,55.4,,55.4,77.7,83.3,78,7,287,1.2
201599,DeAndre Jordan,0.0,62.4,,62.4,31.2,83.3,56,7,140,2.6
201935,James Harden,100.0,54.5,69.2,63.3,81.65,100.0,79,7,1310,21.2
201939,Stephen Curry,0.0,51.2,83.0,70.3,35.15,100.0,70,8,1292,19.4
201949,James Johnson,100.0,,,,100.0,50.0,12,5,11,0.0
