feature,coverage_pct,missing_count,present_count
AGE,100.0,0,5312
AVG_OPPONENT_DCS,34.732680722891565,3467,1845
CLUTCH_MIN_TOTAL,56.49472891566265,2311,3001
CREATION_BOOST,100.0,0,5312
CREATION_TAX,100.0,0,5312
CREATION_VOLUME_RATIO,100.0,0,5312
EFG_ISO_WEIGHTED,100.0,0,5312
EFG_PCT_0_DRIBBLE,100.0,0,5312
ELITE_WEAK_TS_DELTA,34.732680722891565,3467,1845
ELITE_WEAK_USG_DELTA,34.732680722891565,3467,1845
ISO_FREQUENCY,79.25451807228916,1102,4210
LEVERAGE_TS_DELTA,56.49472891566265,2311,3001
LEVERAGE_USG_DELTA,56.49472891566265,2311,3001
MEAN_OPPONENT_DCS,34.732680722891565,3467,1845
PNR_HANDLER_FREQUENCY,79.25451807228916,1102,4210
POST_TOUCH_FREQUENCY,79.25451807228916,1102,4210
QOC_TS_DELTA,34.732680722891565,3467,1845
QOC_USG_DELTA,34.732680722891565,3467,1845
USG_PCT,100.0,0,5312
