Feature,Rank,Selected
USG_PCT_X_CREATION_VOLUME_RATIO,1,True
AGE_X_RS_PRESSURE_RESILIENCE_YOY_DELTA,1,True
AGE_X_LEVERAGE_USG_DELTA_YOY_DELTA,1,True
PREV_RS_PRESSURE_APPETITE,1,True
PREV_RS_PRESSURE_RESILIENCE,1,True
USG_PCT_X_EFG_ISO_WEIGHTED,1,True
USG_PCT_X_RS_PRESSURE_APPETITE,1,True
USG_PCT_X_LEVERAGE_USG_DELTA,1,True
USG_PCT,1,True
RIM_PRESSURE_RESILIENCE,1,True
LATE_CLOCK_PRESSURE_APPETITE_DELTA,1,True
PRESSURE_RESILIENCE_DELTA,1,True
NEGATIVE_SIGNAL_COUNT,1,True
LEVERAGE_USG_DELTA,1,True
EFG_PCT_0_DRIBBLE,1,True
PREV_LEVERAGE_USG_DELTA,2,False
CREATION_VOLUME_RATIO,3,False
CREATION_TAX,4,False
AGE_X_CREATION_VOLUME_RATIO_YOY_DELTA,5,False
CREATION_TAX_YOY_DELTA,6,False
QOC_USG_DELTA,7,False
LEVERAGE_USG_DELTA_YOY_DELTA,8,False
FTr_RESILIENCE,9,False
LATE_CLOCK_PRESSURE_RESILIENCE_DELTA,10,False
PREV_LEVERAGE_TS_DELTA,11,False
RS_FTr,12,False
PREV_CREATION_VOLUME_RATIO,13,False
RS_PRESSURE_RESILIENCE_YOY_DELTA,14,False
AVG_OPPONENT_DCS,15,False
CREATION_VOLUME_RATIO_YOY_DELTA,16,False
EARLY_CLOCK_PRESSURE_RESILIENCE_DELTA,17,False
PREV_CREATION_TAX,18,False
LEVERAGE_TS_DELTA_YOY_DELTA,19,False
QOC_TS_DELTA,20,False
PREV_EFG_ISO_WEIGHTED,21,False
RS_EARLY_CLOCK_PRESSURE_RESILIENCE,22,False
RS_RIM_APPETITE_YOY_DELTA,23,False
MEAN_OPPONENT_DCS,24,False
RS_LATE_CLOCK_PRESSURE_RESILIENCE_YOY_DELTA,25,False
EFG_ISO_WEIGHTED_YOY_DELTA,26,False
PHYSICALITY_FLOOR,27,False
LEVERAGE_TS_DELTA,28,False
RS_PRESSURE_RESILIENCE,29,False
USG_PCT_X_RS_LATE_CLOCK_PRESSURE_RESILIENCE,30,False
RS_LATE_CLOCK_PRESSURE_RESILIENCE,31,False
RS_PRESSURE_APPETITE_YOY_DELTA,32,False
RS_LATE_CLOCK_PRESSURE_APPETITE,33,False
CLUTCH_MIN_TOTAL,34,False
EFG_ISO_WEIGHTED,35,False
RS_RIM_APPETITE,36,False
RS_PRESSURE_APPETITE,37,False
PRESSURE_APPETITE_DELTA,38,False
PREV_RS_RIM_APPETITE,39,False
EARLY_CLOCK_PRESSURE_APPETITE_DELTA,40,False
RS_EARLY_CLOCK_PRESSURE_APPETITE,41,False
ELITE_WEAK_USG_DELTA,42,False
DATA_COMPLETENESS_SCORE,43,False
SELF_CREATED_FREQ,44,False
SAMPLE_SIZE_CONFIDENCE,45,False
ABDICATION_RISK,46,False
ELITE_WEAK_TS_DELTA,47,False
LEVERAGE_DATA_CONFIDENCE,48,False
