player_name,season,sq_delta_raw,sq_delta_in_features,star_level,archetype,expected
Jordan Poole,2021-22,0.0761640567996631,0.0761640567996631,0.9819532632827759,Bulldozer (Fragile Star),Low
Talen Horton-Tucker,2020-21,-0.0333190804945336,-0.0333190804945336,0.3,Victim (Fragile Role),Low
Christian Wood,2020-21,0.0175749121983669,0.0175749121983669,0.0,Victim (Fragile Role),Low
D'Angelo Russell,2018-19,-0.0718362014110211,-0.0718362014110211,0.9565892219543457,King (Resilient Star),Low
Julius Randle,2020-21,-0.0367397630576369,-0.0367397630576369,0.0,Victim (Fragile Role),Low
Shai Gilgeous-Alexander,2018-19,-0.0566535549811678,-0.0566535549811678,0.9752182960510254,King (Resilient Star),High
Victor Oladipo,2016-17,-0.025325166559776,-0.025325166559776,0.9219021797180176,King (Resilient Star),High
Jalen Brunson,2020-21,0.0583537517229603,0.0583537517229603,0.9967474937438965,Bulldozer (Fragile Star),High
Tyrese Maxey,2021-22,0.0709744999881049,0.0709744999881049,0.939247727394104,King (Resilient Star),High
Pascal Siakam,2018-19,-0.0713114794941006,-0.0713114794941006,0.7219278216362,King (Resilient Star),High
Jayson Tatum,2017-18,-0.0216815303245286,-0.0216815303245286,0.8260393142700195,King (Resilient Star),High
Mikal Bridges,2021-22,0.1319440034696587,0.1319440034696587,0.9957740306854248,Bulldozer (Fragile Star),High
Desmond Bane,2021-22,0.1277520994008383,0.1277520994008383,0.8934801816940308,Bulldozer (Fragile Star),High
Tyrese Haliburton,2021-22,0.0496064203560478,0.0496064203560478,0.9291946291923523,Bulldozer (Fragile Star),High
